date,AAVEUSDT_PERP,ADAUSDT_PERP,ALGOUSDT_PERP,ATOMUSDT_PERP,AVAXUSDT_PERP,AXSUSDT_PERP,BCHUSDT_PERP,BNBUSDT_PERP,BTCUSDT_PERP,DOGEUSDT_PERP,DOTUSDT_PERP,EOSUSDT_PERP,ETCUSDT_PERP,ETHUSDT_PERP,FILUSDT_PERP,FTMUSDT_PERP,ICPUSDT_PERP,LINKUSDT_PERP,LTCUSDT_PERP,MANAUSDT_PERP,MATICUSDT_PERP,NEOUSDT_PERP,SANDUSDT_PERP,SOLUSDT_PERP,THETAUSDT_PERP,TRXUSDT_PERP,UNIUSDT_PERP,VETUSDT_PERP,XLMUSDT_PERP,XRPUSDT_PERP
2021-04-12,0.0,-170.72106828507862,0.0,96.62503123696472,0.0,0.0,1496.3933055515774,1313.3000649645144,558.0222311807182,0.0,0.0,826.6352825921962,1327.954141702898,1023.7010974191375,0.0,0.0,0.0,-92.78789036280914,405.3557044442494,0.0,0.0,0.0,0.0,0.0,0.0,628.575987022672,0.0,861.9943408108234,316.6326291606678,881.2390059352983
2021-04-13,0.0,-36.60019010074208,0.0,251.9109371255525,0.0,0.0,1334.2466352924946,904.5658275057223,366.40774376615377,0.0,0.0,990.0780924885322,1221.9630036551728,1003.88801805133,0.0,0.0,0.0,-8.526512829121202e-14,631.2471036679103,0.0,0.0,0.0,0.0,0.0,0.0,775.7018471986471,0.0,824.1746632743307,584.6220208404038,1074.5939170330096
2021-04-14,0.0,188.26903083713688,0.0,408.03710598015437,0.0,0.0,1305.9321718030474,811.5265371378904,329.09630482418936,0.0,0.0,948.2532656784282,1141.4088930865369,700.2777883467278,0.0,0.0,0.0,103.12618161629251,883.2383753117958,0.0,0.0,0.0,0.0,0.0,0.0,673.7244934842175,0.0,851.2757768601984,640.1494357311482,1015.6846393022369
2021-04-15,0.0,362.24666622938736,0.0,671.6763874311828,0.0,0.0,1248.375865027327,696.378722892261,409.84414066314883,0.0,0.0,855.9540930279693,711.4538334888462,839.9806176871948,0.0,0.0,0.0,334.51486847268814,922.0370849849638,0.0,0.0,0.0,0.0,0.0,0.0,614.554046296377,0.0,830.0440329777912,675.6962199529237,827.2434208679409
2021-04-16,0.0,357.115721238224,0.0,564.4871707832457,0.0,0.0,1098.0008312986986,710.3527458555352,357.21792434208874,0.0,0.0,1030.657325671741,690.392840187151,868.3581035763239,0.0,0.0,0.0,557.353517404267,1183.605128292034,0.0,0.0,0.0,0.0,0.0,0.0,685.7478639785627,0.0,423.8507583398186,715.0040479218476,757.8560211104636
2021-04-17,0.0,331.20929696806536,0.0,522.5773797794895,0.0,0.0,1015.4006835875323,784.879925666719,251.08697785945776,0.0,0.0,923.3764957763217,701.818881507115,813.450160067841,0.0,0.0,0.0,566.8781017375222,1316.9108265905177,0.0,0.0,0.0,0.0,0.0,0.0,708.5306258100223,0.0,541.0584785289028,704.0893961707259,818.7327699497682
2021-04-18,0.0,89.23105481496694,0.0,164.34411245202438,0.0,0.0,1459.6499608498957,779.5971695658725,71.10614815137572,0.0,0.0,899.716413412943,839.1685060151544,1121.933861681017,0.0,0.0,0.0,764.2609609966318,1007.9230183405929,0.0,0.0,0.0,0.0,0.0,0.0,669.7081847966755,0.0,693.1133493921116,654.2459603592395,786.0012991714993
2021-04-19,0.0,231.69317611006477,0.0,33.93939769223971,0.0,0.0,1151.9702148626964,914.6942158899413,465.9013910389656,0.0,0.0,878.7064262051571,829.5032081603324,1121.933861681017,0.0,0.0,0.0,691.497976798614,1046.3879783728144,0.0,0.0,0.0,0.0,0.0,0.0,490.6346502023483,0.0,655.8323668864664,716.8838078565187,766.048834637448
2021-04-20,0.0,448.0500154798207,0.0,220.76118732528028,0.0,0.0,890.3863981575536,847.1266074696342,598.0774667614199,0.0,0.0,894.3428231602567,753.2587674988499,1016.0447565550328,0.0,0.0,0.0,705.7507683365967,1013.6146798621536,0.0,0.0,0.0,0.0,0.0,0.0,457.1280009612236,0.0,729.7268714892703,738.5147631641368,687.2168937787717
2021-04-21,0.0,571.6045150272631,0.0,279.19143958756223,0.0,0.0,816.5109821623801,747.6109624167333,602.4401504600593,0.0,0.0,802.1692493518188,726.6020796996867,1213.6539900455002,0.0,0.0,0.0,680.5428398444634,1100.4173689671372,0.0,0.0,0.0,0.0,0.0,0.0,502.9713430302222,0.0,658.3512949677789,696.9637140204659,600.9700704189261
2021-04-22,0.0,612.4319254544808,0.0,329.73888520857054,0.0,0.0,772.5151312603427,674.8446159830286,602.4401504600593,0.0,0.0,750.2745319893767,787.173032934914,1459.9728766641904,0.0,0.0,0.0,716.2307214018626,1140.1373011642306,0.0,0.0,0.0,0.0,0.0,0.0,477.87560088234727,0.0,484.72970761596866,654.2765778748619,537.937223787929
2021-04-23,0.0,693.8038112246226,0.0,423.27155515920555,0.0,0.0,739.0829783685124,730.3493619308429,516.0545668352852,0.0,0.0,689.1848049725262,740.5261014515712,1448.1966709658382,0.0,0.0,0.0,756.1959615728804,1039.2015098560018,0.0,0.0,0.0,0.0,0.0,0.0,502.3757684689874,0.0,553.7942450178034,636.423319874762,531.5393443011588
2021-04-24,0.0,776.7793685601996,0.0,438.80312282467395,0.0,0.0,752.9548725719351,803.9735553660848,511.65936941901845,0.0,0.0,703.5179577756389,733.9210006603495,1352.414902387531,0.0,0.0,0.0,650.6313486687889,1067.4228576302503,0.0,0.0,0.0,0.0,0.0,0.0,542.4816830266554,0.0,538.3412883043486,593.6364555430993,531.5393443011588
2021-04-25,0.0,722.5521613037671,0.0,423.91464219166824,0.0,0.0,765.8874852400875,894.845250892816,398.1644943031175,0.0,0.0,664.6790365564093,748.6603682724799,1483.7706856315885,0.0,0.0,0.0,667.8939715920927,1098.9373492138268,0.0,0.0,0.0,0.0,0.0,0.0,542.4816830266554,0.0,524.3638028707078,519.8075241336027,543.9295963083526
2021-04-26,0.0,679.7134583558478,0.0,460.417495796453,0.0,0.0,773.9151963761707,902.9712113082223,475.66220409007104,0.0,0.0,627.8162136391652,763.9151239131581,1401.8018039987994,0.0,0.0,0.0,667.8939715920927,1042.0102349655879,0.0,0.0,0.0,0.0,0.0,0.0,564.1703449256485,0.0,550.653176669215,514.9132061583587,573.856290233769
